,feature name,feature value,min,1q,median,3q,max,mean,sd,n (nearest 5),kfold
0,stroke_severity_arrival,0.0,-56.4059004806215,-21.41915741106495,-18.95836142758839,-15.19132060087286,47.371771346325986,-18.521498227962617,5.463160865789302,7265,0
1,stroke_severity_arrival,1.0,-65.0397713498352,-33.318962694974616,-29.094753768537192,-24.829923809085738,26.971499885865487,-29.518125335035116,6.220042928910129,7515,0
2,stroke_severity_arrival,2.0,-48.53168471394572,-28.92198867691215,-25.276394887748175,-21.449934258894064,5.7995486185792835,-25.24974902643461,5.163365424876818,9620,0
3,stroke_severity_arrival,3.0,-53.37788619133178,-19.782180100663098,-17.627774858663322,-13.806628876915202,44.73497797320597,-15.671923031670637,7.458339905502117,8165,0
4,stroke_severity_arrival,4.0,-57.394858443224805,-22.154556114883164,-20.118766274009833,-17.434656537403352,4.477922124979086,-20.25650860959173,4.485124241163952,6710,0
5,stroke_severity_arrival,5.0,-85.45835738579277,-18.416832550694235,-16.347816525080706,-14.091595627601492,4.5329648871580135,-16.65478027714526,4.143240840685475,5220,0
6,stroke_severity_arrival,6.0,-44.840330946268516,-13.575476843798533,-11.9838135757274,-10.218428055467085,13.69002860210836,-11.96075485262509,3.357452581415992,4200,0
7,stroke_severity_arrival,7.0,-40.06647799816914,-7.231190663898596,-4.967063657855615,-2.995764518326614,22.601260908497498,-5.218884749788214,4.204126107465721,3270,0
8,stroke_severity_arrival,8.0,-48.975904555008746,-0.9858816867554561,1.7129668557806872,4.3746159186679865,31.370443216725253,1.684430876650639,4.973505029888902,2595,0
9,stroke_severity_arrival,9.0,-32.7708390412014,4.450856868377887,8.350115233119578,12.935233282560947,56.90808541905601,8.517014183609973,6.393159310975949,2180,0
10,stroke_severity_arrival,10.0,-56.35661599300336,10.403784989966079,16.044819201491773,22.204378587608225,63.68510884739924,16.390680156998048,9.563785459745011,1910,0
11,stroke_severity_arrival,11.0,-31.62411640135804,14.490244074685034,20.466159306967164,26.581903065172956,55.53828907974064,20.51535478865227,10.150299432487705,1625,0
12,stroke_severity_arrival,12.0,-22.325520119222347,19.189112404526675,29.19746712996392,36.46204760505585,93.15740715613589,27.972880025584335,12.653415840736082,1420,0
13,stroke_severity_arrival,13.0,-20.326376002309843,26.960249741000588,35.7749673509947,44.0266269818414,79.95182646657805,35.399296409951084,12.436723823154939,1300,0
14,stroke_severity_arrival,14.0,-19.444187702406197,39.42367229221854,53.53039915428497,63.3514793311432,105.57773090185133,51.22923438438748,16.042339549953102,1275,0
15,stroke_severity_arrival,15.0,-2.470056434068829,46.66963866109028,60.7871631038189,70.82345997313503,103.48657234721351,58.5340446540681,16.329091066307388,1160,0
16,stroke_severity_arrival,16.0,-11.256159264422022,50.589740158198396,65.46006878294982,76.62547884718049,103.5776068754727,62.820000683223654,18.50137186688989,1105,0
17,stroke_severity_arrival,17.0,5.472743311570957,60.7046986745228,79.40243753751275,92.78151814353187,126.43760906048584,75.44411596595702,22.014370180575376,1125,0
18,stroke_severity_arrival,18.0,-1.8116563183814287,74.02628918561618,90.58511534272694,101.5415214117267,143.91109373077285,86.295828595187,20.930273228015796,1100,0
19,stroke_severity_arrival,19.0,-7.268481370359659,81.15573483308543,99.89232712018304,111.45945623876992,140.3869735489087,95.49832219842595,21.606461919001614,1095,0
20,stroke_severity_arrival,20.0,23.529148994730786,88.7321127315983,109.52317557490431,123.47689213882666,158.78585776599124,104.68353341898576,23.156912427943155,1025,0
21,stroke_severity_arrival,21.0,21.13177808994893,97.80656200071331,118.422347644791,130.6774853814533,157.70223467611243,112.49885742496123,24.73563144038224,880,0
22,stroke_severity_arrival,22.0,43.030270454585555,107.80759154615458,123.2586394935241,135.39283063830572,166.14178433875554,119.56512609012584,21.314404727540055,790,0
23,stroke_severity_arrival,23.0,43.17787856472656,120.883743887092,134.34449213249724,145.96153822166147,176.27359896110372,130.85637848289605,20.77157943416637,760,0
24,stroke_severity_arrival,24.0,41.15224784341175,128.35608208227904,147.69470591793302,161.771844234725,203.86215587820857,142.0831057154194,27.476221376713323,700,0
25,stroke_severity_arrival,25.0,26.82778288235422,132.4173563044751,150.13713348847347,161.61127546146278,182.04682740345598,143.02566339067602,26.93689908180539,605,0
26,stroke_severity_arrival,26.0,22.184400788331406,143.6328763367189,159.14538411111806,169.59475246690678,198.73086605058984,153.85362578005336,23.509385941371388,530,0
